episode_id,Pi,A,Pe,S,T,O
1,0,0,0,1,1,0
2,1,1,0,1,1,0
3,0,0,0,1,1,0
4,0,1,0,0,0,1
5,0,1,0,1,1,1
6,0,0,0,1,1,0
7,0,0,0,1,1,0
8,1,1,1,1,1,0
9,0,0,0,1,1,0
10,1,1,0,1,0,1
11,1,0,1,0,1,0
12,1,1,0,1,1,1
13,0,0,0,1,1,0
14,1,1,0,1,1,0
15,1,1,0,1,1,0
16,0,1,0,0,0,1
17,0,0,0,1,1,0
18,1,0,1,1,1,0
19,0,0,0,1,1,0
20,1,0,1,1,1,0
21,1,1,0,0,0,1
22,1,1,0,1,1,0
23,1,1,0,1,1,0
24,0,0,0,1,1,0
25,0,0,0,1,1,0
26,0,0,0,1,1,0
27,0,0,0,1,1,0
28,1,0,1,0,1,0
29,0,0,0,1,1,0
30,0,0,0,1,1,0
31,1,1,0,1,1,0
32,0,0,0,0,0,1
33,0,0,0,1,1,0
34,0,0,0,1,1,0
35,1,1,0,1,1,0
36,0,0,0,1,1,0
37,1,1,0,1,1,0
38,0,0,0,1,1,0
39,1,0,1,1,1,0
40,1,0,1,1,1,0
41,0,0,0,1,1,0
42,0,1,0,0,0,1
43,1,1,0,1,1,0
44,0,0,0,1,1,0
45,0,0,0,1,1,0
46,1,0,1,1,1,0
47,0,0,0,0,1,1
48,1,1,0,0,0,1
49,0,0,0,1,1,0
50,1,0,1,0,0,1
51,1,1,1,1,1,0
52,0,1,1,0,0,1
53,0,0,0,1,1,0
54,1,0,1,0,0,1
55,0,1,0,0,0,1
56,1,0,1,1,1,0
57,0,0,0,1,1,0
58,0,0,0,0,0,1
59,0,1,0,0,0,1
60,1,1,0,1,1,0
61,0,1,1,0,0,1
62,0,0,0,0,0,1
63,1,0,1,1,1,0
64,0,0,0,1,1,0
65,1,1,0,0,1,1
66,1,1,0,1,1,0
67,0,0,0,1,1,0
68,1,0,1,1,1,0
69,1,0,1,0,0,1
70,0,0,0,1,1,0
71,0,0,0,0,0,1
72,1,1,0,1,1,0
73,0,0,0,1,1,0
74,1,0,1,1,1,0
75,1,1,0,1,1,0
76,1,1,0,1,1,0
77,0,0,0,1,1,0
78,1,0,1,0,1,0
79,1,0,1,1,1,0
80,1,1,0,1,1,0
81,0,0,0,1,1,0
82,0,1,0,0,0,1
83,1,1,0,1,1,0
84,1,0,1,1,1,0
85,1,1,0,1,1,0
86,0,0,0,1,1,0
87,0,0,0,1,1,0
88,0,0,0,1,1,0
89,1,1,0,1,1,1
90,1,0,1,1,1,0
91,1,0,1,0,0,1
92,0,0,0,1,1,0
93,1,1,0,1,0,1
94,0,0,0,1,1,0
95,0,1,0,0,0,1
96,1,0,1,1,0,0
97,1,0,1,0,0,1
98,0,0,0,1,1,0
99,0,1,0,0,0,1
100,1,1,0,0,1,1
